Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
CHLE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9502077250579802,1.2156699953447172,-0.3160251507584595,-1.307232516900268,-0.4232763490193124,0.04444444400000001,0.046666667,-0.111111111,-0.304444444
MRLN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9502077250579802,0.9586727372424996,-0.2558293731115051,-0.21965527740224913,-0.3360940394597515,0.035920462,0.048749198,0.132135985,0.167415074
WLL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.11667249516650549,0.05918233388473768,-0.06479021991067853,-0.03839240415257931,-0.011837028466297205,-0.008536555,-0.00304872,0.082317106,0.283536564
CONN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1835527153909913,-1.6112998437796773,-0.2597418191981224,-0.21965527740224913,-0.3437416104737481,0.007270324,0.090548579,0.011235955,0.074025116
SNX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1835527153909913,-1.3543025856774595,-0.2371614160696455,-0.1592343196523592,-0.3055037554037653,0.010600707,-0.021201413,-0.0014134279999999998,0.36042402799999995
AEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0839681655069517,2.6291549149069144,-0.13655565955662977,-0.8238648549011486,0.10134702254085196,0.005555556,0.014444443999999999,0.144444444,0.316666667
CTRP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9502077250579802,0.7016754791402818,-0.24017958876503598,0.2637123845968704,-0.3422120962709488,0.42648896299999994,0.441066222,0.556018326,0.300708038
CMP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,1.6011658824980437,-0.1139752564281529,-0.340497192902029,-0.027132170494290335,0.057692308,0.078461538,0.1,0.265384692
TPX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9502077250579802,1.344168624395826,-0.03125496773967328,-0.21965527740224913,0.10287653674365127,0.085714286,0.06428571400000001,0.18714292899999999,0.1
GTXI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.11667249516650549,-1.2258039566263508,-0.2371614160696455,-0.1592343196523592,-0.3055037554037653,-0.155206287,-0.14210871,-0.233791749,-0.086444008
