Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
W&T OFFSHORE INC,2005-01-28,New York Stock Exchange,240449997,19,12655263,WTI,-0.051282051,-0.061538513,0.035897487,0.053333385
DRYSHIPS INC.,2005-02-03,NASDAQ,234000000,18,13000000,DRYS,0.058823696,-0.135999864,-0.107437876,-0.515694991
"GRAVITY CO., LTD.",2005-02-08,NASDAQ,108000000,13.5,8000000,GRVY,-0.091569784,-0.17223836,-0.196947671,-0.321947696
"DOLBY LABORATORIES, INC.",2005-02-17,New York Stock Exchange,495000000,18,27500000,DLB,0.078260826,-0.02826087,0.046086913,-0.189565261
KEARNY FINANCIAL CORP.,2005-02-24,NASDAQ,218212500,10,21821250,KRNY,-0.015679444,-0.003484308,-0.041811811,-0.081010482
PRUDENTIAL BANCORP INC OF PENNSYLVANIA,2005-03-30,NASDAQ,56536880,10,5653688,PBIP,-0.010988972,-0.065934018,-0.140859142,0.076923178
"FREIGHTCAR AMERICA, INC.",2005-04-06,NASDAQ,161500000,19,8500000,RAIL,0.043413912,0.048347311,-0.026147015,-0.028613666
DEXCOM INC,2005-04-14,NASDAQ,56400000,12,4700000,DXCM,-0.035596026,-0.122516556,-0.048013245,-0.006622517
"VERIFONE SYSTEMS, INC.",2005-04-29,New York Stock Exchange,154000000,10,15400000,PAY,0.013953488,0.16744186,0.190697674,0.734883721
"MORNINGSTAR, INC.",2005-05-03,NASDAQ,140831250,18.5,7612500,MORN,0.123794159,0.098606645,0.164523044,0.435691372
LAZARD LTD,2005-05-05,New York Stock Exchange,854579050,25,34183162,LAZ,-0.03800004,-0.08519996,-0.12559996,-0.04559996
TEEKAY LNG PARTNERS L.P.,2005-05-05,New York Stock Exchange,132000000,22,6000000,TGP,0.002008072,0.032931687,0.056224859,0.312048112
CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY LTD,2005-05-06,NASDAQ,141813051,16.25,8726957,CNTF,-0.060270613,-0.029520306,0.107011029,0.150676501
ZUMIEZ INC,2005-05-06,NASDAQ,56250000,18,3125000,ZUMZ,0.20210728,0.12164751,0.324233716,0.650862165
CITI TRENDS INC,2005-05-18,NASDAQ,53900000,14,3850000,CTRN,-0.073746367,-0.1150443,0.116224123,0.625958547
TRANSMONTAIGNE PARTNERS L.P.,2005-05-25,New York Stock Exchange,71690000,21.4,3350000,TLP,0.003265306,0.011428612,0.032244939,0.079591878
DIAMONDROCK HOSPITALITY CO,2005-05-26,New York Stock Exchange,273913500,10.5,26087000,DRH,0.006641366,0.046489564,0.067362429,0.130929791
DSW INC.,2005-06-29,New York Stock Exchange,267187500,19,14062500,DSW,0.020833333,0.058333333,0.089583333,-0.072083333
SILICON MOTION TECHNOLOGY CORP,2005-06-30,NASDAQ,70350000,10.5,6700000,SIMO,0.018867925,-0.009433962,0.051886792,0.348113208
MEDICAL PROPERTIES TRUST INC,2005-07-08,New York Stock Exchange,126701642,10.5,12066823,MPW,0.019444444,0.012962963,-0.030555556,-0.101851852
FOCUS MEDIA HOLDING LTD,2005-07-13,NASDAQ,171700000,17,10100000,FMCN,0.063157895,-0.039473684,0.089473684,0.315789474
