Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
IPCC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,33,198048000,16.0,12378000,-0.011875,-0.001875,0.022500062999999997,0.3175
FORM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,84000000,14.0,6000000,-0.074210526,-0.052631579000000005,0.023684262999999997,0.035263157999999996
MOH,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,115500000,17.5,6600000,-0.030952357000000003,0.071428571,0.202381,0.19761900000000002
CHT,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,23,1374160000,14.24,96500000,0.010067108,-0.023489847,-0.07181205,0.016778585
NTGR,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,98000000,14.0,7000000,-0.060052219000000004,-0.115926893,-0.072584856,-0.079895509
CSE,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,17,308850000,14.5,21300000,0.09004745800000001,0.06931280000000001,0.030805747999999997,0.30213277899999996
NFP,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,208540494,23.0,9066978,0.0038095240000000003,0.021714286,0.017904724,-0.047619048
ACUS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,52500000,14.0,3750000,-0.11672907199999999,-0.22284642699999999,-0.43383271700000003,-0.44506864100000004
CHLE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,31,7750000,5.0,1550000,0.04444444400000001,0.046666667,-0.111111111,-0.304444444
MRLN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,29,61600000,14.0,4400000,0.035920462,0.048749198,0.132135985,0.167415074
WLL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,22,232500000,15.5,15000000,-0.008536555,-0.00304872,0.082317106,0.283536564
CONN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,58100000,14.0,4150000,0.007270324,0.090548579,0.011235955,0.074025116
SNX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,78300000,14.5,5400000,0.010600707,-0.021201413,-0.0014134279999999998,0.36042402799999995
AEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,42,168300000,9.0,18700000,0.005555556,0.014444443999999999,0.144444444,0.316666667
CTRP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,27,75600000,18.0,4200000,0.42648896299999994,0.441066222,0.556018326,0.300708038
CMP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,34,188500000,13.0,14500000,0.057692308,0.078461538,0.1,0.265384692
TPX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,262500000,14.0,18750000,0.085714286,0.06428571400000001,0.18714292899999999,0.1
GTXI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,78300000,14.5,5400000,-0.155206287,-0.14210871,-0.233791749,-0.086444008
AACC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,29,105000000,15.0,7000000,0.00240102,0.026410563999999997,0.073229232,0.12124849900000001
AIZ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,1760000000,22.0,80000000,0.040421011,0.018526358,0.053473684,0.034105221
DVAX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25,45000000,7.5,6000000,0.149397614,0.053012072,-0.060240964,-0.190361482
TNS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,79560000,18.0,4420000,-0.026486486,-0.014594595,0.11783783800000001,0.22702708100000002
LSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,210000000,10.5,20000000,0.035521236,-0.020849421,-0.146718147,-0.223938224
CUTR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,49448000,14.0,3532000,-0.037011652,-0.026730637,0.016449623,-0.09527073300000001
MCHX,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,26000000,6.5,4000000,0.23404255300000001,0.594414894,0.7486702129999999,0.628989362
ABR,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,22,125450000,20.0,6272500,0.022443941000000002,-0.030922645,-0.022443842000000002,-0.003990025
INTX,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,106250000,17.0,6250000,0.130952381,0.127142857,0.083333333,-0.185714286
GHL,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,18,87500000,17.5,5000000,0.025,-0.055,0.02749995,0.02
ACAD,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,26,35000000,7.0,5000000,-0.075268817,-0.112903226,-0.134408602,-0.233870968
CRTX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,28,42000000,7.0,6000000,-0.022038541000000002,-0.026170812999999998,-0.028925593,-0.334710739
DRAD,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,66000000,12.0,5500000,-0.018302829,-0.176372712,-0.24708818600000002,-0.17221297800000002
